Index,Year,Level,Sport,First Place,First Place Hometown,Second Place,Second Place Hometown,Third Place,Third Place Hometown,Fourth Place,Fourth Place Hometown,Win Streak
508,1979,Pro,NBA,Seattle SuperSonics,"Seattle,WA",Washington Bullets,"Washington, DC Metro Area",Phoenix Suns,"Metro Phoenix, AZ",San Antonio Spurs,"San Antonio, TX",1
517,1980,Pro,NBA,Los Angeles Lakers,"Greater Los Angeles, CA",Philadelphia 76ers,"Greater Philadelphia, PA",Seattle SuperSonics,"Seattle,WA",Boston Celtics,"Greater Boston, MA",1
526,1981,Pro,NBA,Boston Celtics,"Greater Boston, MA",Houston Rockets,"Houston, TX",Kansas City Kings,"Kansas City, MO",Philadelphia 76ers,"Greater Philadelphia, PA",1
537,1982,Pro,NBA,Los Angeles Lakers,"Greater Los Angeles, CA",Philadelphia 76ers,"Greater Philadelphia, PA",San Antonio Spurs,"San Antonio, TX",Boston Celtics,"Greater Boston, MA",1
548,1983,Pro,NBA,Philadelphia 76ers,"Greater Philadelphia, PA",Los Angeles Lakers,"Greater Los Angeles, CA",San Antonio Spurs,"San Antonio, TX",Milwaukee Bucks,"Milwaukee, WI",1
561,1984,Pro,NBA,Boston Celtics,"Greater Boston, MA",Los Angeles Lakers,"Greater Los Angeles, CA",Milwaukee Bucks,"Milwaukee, WI",Phoenix Suns,"Metro Phoenix, AZ",1
572,1985,Pro,NBA,Los Angeles Lakers,"Greater Los Angeles, CA",Boston Celtics,"Greater Boston, MA",Denver Nuggets,"Denver, CO",Philadelphia 76ers,"Greater Philadelphia, PA",1
584,1986,Pro,NBA,Boston Celtics,"Greater Boston, MA",Houston Rockets,"Houston, TX",Los Angeles Lakers,"Greater Los Angeles, CA",Milwaukee Bucks,"Milwaukee, WI",1
597,1987,Pro,NBA,Los Angeles Lakers,"Greater Los Angeles, CA",Boston Celtics,"Greater Boston, MA",Seattle SuperSonics,"Seattle,WA",Detroit Pistons,"Metro Detroit, MI",1
609,1988,Pro,NBA,Los Angeles Lakers,"Greater Los Angeles, CA",Detroit Pistons,"Metro Detroit, MI",Dallas Mavericks,"Dallas-Fort Worth, TX",Boston Celtics,"Greater Boston, MA",2
621,1989,Pro,NBA,Detroit Pistons,"Metro Detroit, MI",Los Angeles Lakers,"Greater Los Angeles, CA",Phoenix Suns,"Metro Phoenix, AZ",Chicago Bulls,"Chicago, IL",1
633,1990,Pro,NBA,Detroit Pistons,"Metro Detroit, MI",Portland Trail Blazers,"Portland Metro Area, OR",Chicago Bulls,"Chicago, IL",Phoenix Suns,"Metro Phoenix, AZ",2
646,1991,Pro,NBA,Chicago Bulls,"Chicago, IL",Los Angeles Lakers,"Greater Los Angeles, CA",Detroit Pistons,"Metro Detroit, MI",Portland Trail Blazers,"Portland Metro Area, OR",1
658,1992,Pro,NBA,Chicago Bulls,"Chicago, IL",Portland Trail Blazers,"Portland Metro Area, OR",Cleveland Cavaliers,"Cleveland, OH",Utah Jazz,"Salt Lake City, UT",2
670,1993,Pro,NBA,Chicago Bulls,"Chicago, IL",Phoenix Suns,"Metro Phoenix, AZ",New York Knicks,New York Metro Area,Seattle SuperSonics,"Seattle,WA",3
683,1994,Pro,NBA,Houston Rockets,"Houston, TX",New York Knicks,New York Metro Area,Indiana Pacers,"Indianapolis Metro Area, IN",Utah Jazz,"Salt Lake City, UT",1
693,1995,Pro,NBA,Houston Rockets,"Houston, TX",Orlando Magic,"Greater Orlando, FL",Indiana Pacers,"Indianapolis Metro Area, IN",San Antonio Spurs,"San Antonio, TX",2
706,1996,Pro,NBA,Chicago Bulls,"Chicago, IL",Seattle SuperSonics,"Seattle,WA",Orlando Magic,"Greater Orlando, FL",Utah Jazz,"Salt Lake City, UT",1
719,1997,Pro,NBA,Chicago Bulls,"Chicago, IL",Utah Jazz,"Salt Lake City, UT",Houston Rockets,"Houston, TX",Miami Heat,"Greater Miami Area, FL",2
733,1998,Pro,NBA,Chicago Bulls,"Chicago, IL",Utah Jazz,"Salt Lake City, UT",Indiana Pacers,"Indianapolis Metro Area, IN",Los Angeles Lakers,"Greater Los Angeles, CA",3
745,1999,Pro,NBA,San Antonio Spurs,"San Antonio, TX",New York Knicks,New York Metro Area,Indiana Pacers,"Indianapolis Metro Area, IN",Portland Trail Blazers,"Portland Metro Area, OR",1
758,2000,Pro,NBA,Los Angeles Lakers,"Greater Los Angeles, CA",Indiana Pacers,"Indianapolis Metro Area, IN",New York Knicks,New York Metro Area,Portland Trail Blazers,"Portland Metro Area, OR",1
772,2001,Pro,NBA,Los Angeles Lakers,"Greater Los Angeles, CA",Philadelphia 76ers,"Greater Philadelphia, PA",Milwaukee Bucks,"Milwaukee, WI",San Antonio Spurs,"San Antonio, TX",2
784,2002,Pro,NBA,Los Angeles Lakers,"Greater Los Angeles, CA",New Jersey Nets,New York Metro Area,Boston Celtics,"Greater Boston, MA",Sacramento Kings,"Sacramento, CA",3
798,2003,Pro,NBA,San Antonio Spurs,"San Antonio, TX",New Jersey Nets,New York Metro Area,Dallas Mavericks,"Dallas-Fort Worth, TX",Detroit Pistons,"Metro Detroit, MI",1
811,2004,Pro,NBA,Detroit Pistons,"Metro Detroit, MI",Los Angeles Lakers,"Greater Los Angeles, CA",Indiana Pacers,"Indianapolis Metro Area, IN",Minnesota Timberwolves,"Twin Cities, MN",1
824,2005,Pro,NBA,San Antonio Spurs,"San Antonio, TX",Detroit Pistons,"Metro Detroit, MI",Miami Heat,"Greater Miami Area, FL",Phoenix Suns,"Metro Phoenix, AZ",1
836,2006,Pro,NBA,Miami Heat,"Greater Miami Area, FL",Dallas Mavericks,"Dallas-Fort Worth, TX",Detroit Pistons,"Metro Detroit, MI",Phoenix Suns,"Metro Phoenix, AZ",1
849,2007,Pro,NBA,San Antonio Spurs,"San Antonio, TX",Cleveland Cavaliers,"Cleveland, OH",Detroit Pistons,"Metro Detroit, MI",Utah Jazz,"Salt Lake City, UT",1
862,2008,Pro,NBA,Boston Celtics,"Greater Boston, MA",Los Angeles Lakers,"Greater Los Angeles, CA",Detroit Pistons,"Metro Detroit, MI",San Antonio Spurs,"San Antonio, TX",1
876,2009,Pro,NBA,Los Angeles Lakers,"Greater Los Angeles, CA",Orlando Magic,"Greater Orlando, FL",Cleveland Cavaliers,"Cleveland, OH",Denver Nuggets,"Denver, CO",1
888,2010,Pro,NBA,Los Angeles Lakers,"Greater Los Angeles, CA",Boston Celtics,"Greater Boston, MA",Orlando Magic,"Greater Orlando, FL",Phoenix Suns,"Metro Phoenix, AZ",2
902,2011,Pro,NBA,Dallas Mavericks,"Dallas-Fort Worth, TX",Miami Heat,"Greater Miami Area, FL",Chicago Bulls,"Chicago, IL",Oklahoma City Thunder,"Oklahoma City, OK",1
914,2012,Pro,NBA,Miami Heat,"Greater Miami Area, FL",Oklahoma City Thunder,"Oklahoma City, OK",Boston Celtics,"Greater Boston, MA",San Antonio Spurs,"San Antonio, TX",1
926,2013,Pro,NBA,Miami Heat,"Greater Miami Area, FL",San Antonio Spurs,"San Antonio, TX",Indiana Pacers,"Indianapolis Metro Area, IN",Memphis Grizzlies,"Memphis, TN",2
939,2014,Pro,NBA,San Antonio Spurs,"San Antonio, TX",Miami Heat,"Greater Miami Area, FL",Indiana Pacers,"Indianapolis Metro Area, IN",Oklahoma City Thunder,"Oklahoma City, OK",1
952,2015,Pro,NBA,Golden State Warriors,"San Francisco Bay Area, CA",Cleveland Cavaliers,"Cleveland, OH",Atlanta Hawks,"Atlanta, GA",Houston Rockets,"Houston, TX",1
966,2016,Pro,NBA,Cleveland Cavaliers,"Cleveland, OH",Golden State Warriors,"San Francisco Bay Area, CA",Toronto Raptors,"Toronto, ON",Oklahoma City Thunder,"Oklahoma City, OK",1
979,2017,Pro,NBA,Golden State Warriors,"San Francisco Bay Area, CA",Cleveland Cavaliers,"Cleveland, OH",San Antonio Spurs,"San Antonio, TX",Boston Celtics,"Greater Boston, MA",1
993,2018,Pro,NBA,Golden State Warriors,"San Francisco Bay Area, CA",Cleveland Cavaliers,"Cleveland, OH",Boston Celtics,"Greater Boston, MA",Houston Rockets,"Houston, TX",2
98,1922,Pro,NFL,Canton Bulldogs,"Canton, OH",Chicago Bears,"Chicago, IL",,,,,1
105,1923,Pro,NFL,Canton Bulldogs,"Canton, OH",Chicago Bears,"Chicago, IL",,,,,2
112,1924,Pro,NFL,Cleveland Bulldogs,"Cleveland, OH",Chicago Bears,"Chicago, IL",,,,,1
116,1925,Pro,NFL,Chicago Cardinals,"Chicago, IL",Pottsville Maroons,"Pottsville, PA",,,,,1
122,1926,Pro,NFL,Frankford Yellow Jackets,"Greater Philadelphia, PA",Chicago Bears,"Chicago, IL",,,,,1
128,1927,Pro,NFL,New York Giants,New York Metro Area,Green Bay Packers,"Green Bay, WI",,,,,1
134,1928,Pro,NFL,Providence Steam Roller,"Providence, RI",Frankford Yellow Jackets,"Greater Philadelphia, PA",,,,,1
139,1929,Pro,NFL,Green Bay Packers,"Green Bay, WI",New York Giants,New York Metro Area,,,,,1
143,1930,Pro,NFL,Green Bay Packers,"Green Bay, WI",New York Giants,New York Metro Area,,,,,2
149,1931,Pro,NFL,Green Bay Packers,"Green Bay, WI",Portsmouth Spartans,"Portsmouth, OH",,,,,3
154,1932,Pro,NFL,Chicago Bears,"Chicago, IL",Green Bay Packers,"Green Bay, WI",,,,,1
159,1933,Pro,NFL,Chicago Bears,"Chicago, IL",New York Giants,New York Metro Area,,,,,2
165,1934,Pro,NFL,New York Giants,New York Metro Area,Chicago Bears,"Chicago, IL",,,,,1
170,1935,Pro,NFL,Detroit Lions,"Metro Detroit, MI",New York Giants,New York Metro Area,,,,,1
174,1936,Pro,NFL,Green Bay Packers,"Green Bay, WI",Boston Redskins,"Greater Boston, MA",,,,,1
180,1937,Pro,NFL,Washington Redskins,"Washington, DC Metro Area",Chicago Bears,"Chicago, IL",,,,,1
185,1938,Pro,NFL,New York Giants,New York Metro Area,Green Bay Packers,"Green Bay, WI",,,,,1
191,1939,Pro,NFL,Green Bay Packers,"Green Bay, WI",New York Giants,New York Metro Area,,,,,1
196,1940,Pro,NFL,Chicago Bears,"Chicago, IL",Washington Redskins,"Washington, DC Metro Area",,,,,1
203,1941,Pro,NFL,Chicago Bears,"Chicago, IL",New York Giants,New York Metro Area,,,,,2
209,1942,Pro,NFL,Washington Redskins,"Washington, DC Metro Area",Chicago Bears,"Chicago, IL",,,,,1
215,1943,Pro,NFL,Chicago Bears,"Chicago, IL",Washington Redskins,"Washington, DC Metro Area",,,,,1
221,1944,Pro,NFL,Green Bay Packers,"Green Bay, WI",New York Giants,New York Metro Area,,,,,1
227,1945,Pro,NFL,Cleveland Rams,"Cleveland, OH",Washington Redskins,"Washington, DC Metro Area",,,,,1
233,1946,Pro,NFL,Chicago Bears,"Chicago, IL",New York Giants,New York Metro Area,,,,,1
241,1947,Pro,NFL,Chicago Cardinals,"Chicago, IL",Philadelphia Eagles,"Greater Philadelphia, PA",,,,,1
249,1948,Pro,NFL,Philadelphia Eagles,"Greater Philadelphia, PA",Chicago Cardinals,"Chicago, IL",,,,,1
257,1949,Pro,NFL,Philadelphia Eagles,"Greater Philadelphia, PA",Los Angeles Rams,"Greater Los Angeles, CA",,,,,2
265,1950,Pro,NFL,Cleveland Browns,"Cleveland, OH",Los Angeles Rams,"Greater Los Angeles, CA",,,,,1
273,1951,Pro,NFL,Los Angeles Rams,"Greater Los Angeles, CA",Cleveland Browns,"Cleveland, OH",,,,,1
281,1952,Pro,NFL,Detroit Lions,"Metro Detroit, MI",Cleveland Browns,"Cleveland, OH",,,,,1
289,1953,Pro,NFL,Detroit Lions,"Metro Detroit, MI",Cleveland Browns,"Cleveland, OH",,,,,2
297,1954,Pro,NFL,Cleveland Browns,"Cleveland, OH",Detroit Lions,"Metro Detroit, MI",,,,,1
306,1955,Pro,NFL,Cleveland Browns,"Cleveland, OH",Los Angeles Rams,"Greater Los Angeles, CA",,,,,2
314,1956,Pro,NFL,New York Giants,New York Metro Area,Chicago Bears,"Chicago, IL",,,,,1
322,1957,Pro,NFL,Detroit Lions,"Metro Detroit, MI",Cleveland Browns,"Cleveland, OH",,,,,1
331,1958,Pro,NFL,Baltimore Colts,"Baltimore, MD",New York Giants,New York Metro Area,,,,,1
340,1959,Pro,NFL,Baltimore Colts,"Baltimore, MD",New York Giants,New York Metro Area,,,,,2
348,1960,Pro,NFL,Philadelphia Eagles,"Greater Philadelphia, PA",Green Bay Packers,"Green Bay, WI",,,,,1
356,1961,Pro,NFL,Green Bay Packers,"Green Bay, WI",New York Giants,New York Metro Area,,,,,1
365,1962,Pro,NFL,Green Bay Packers,"Green Bay, WI",New York Giants,New York Metro Area,,,,,2
374,1963,Pro,NFL,Chicago Bears,"Chicago, IL",New York Giants,New York Metro Area,,,,,1
382,1964,Pro,NFL,Cleveland Browns,"Cleveland, OH",Baltimore Colts,"Baltimore, MD",,,,,1
392,1965,Pro,NFL,Green Bay Packers,"Green Bay, WI",Cleveland Browns,"Cleveland, OH",,,,,1
401,1966,Pro,NFL,Green Bay Packers,"Green Bay, WI",Dallas Cowboys,"Dallas-Fort Worth, TX",,,,,2
404,1967,Pro,NFL,Green Bay Packers,"Green Bay, WI",Kansas City Chiefs,"Kansas City, MO",Dallas Cowboys,"Dallas-Fort Worth, TX",,,3
412,1968,Pro,NFL,Green Bay Packers,"Green Bay, WI",Oakland Raiders,"San Francisco Bay Area, CA",Dallas Cowboys,"Dallas-Fort Worth, TX",Los Angeles Rams,"Greater Los Angeles, CA",4
420,1969,Pro,NFL,New York Jets,New York Metro Area,Baltimore Colts,"Baltimore, MD",Cleveland Browns,"Cleveland, OH",Minnesota Vikings,"Twin Cities, MN",1
428,1970,Pro,NFL,Kansas City Chiefs,"Kansas City, MO",Minnesota Vikings,"Twin Cities, MN",Cleveland Browns,"Cleveland, OH",Dallas Cowboys,"Dallas-Fort Worth, TX",1
438,1971,Pro,NFL,Baltimore Colts,"Baltimore, MD",Dallas Cowboys,"Dallas-Fort Worth, TX",Oakland Raiders,"San Francisco Bay Area, CA",San Francisco 49ers,"San Francisco Bay Area, CA",1
446,1972,Pro,NFL,Dallas Cowboys,"Dallas-Fort Worth, TX",Miami Dolphins,"Greater Miami Area, FL",Baltimore Colts,"Baltimore, MD",San Francisco 49ers,"San Francisco Bay Area, CA",1
454,1973,Pro,NFL,Miami Dolphins,"Greater Miami Area, FL",Washington Redskins,"Washington, DC Metro Area",Pittsburgh Steelers,"Pittsburgh, PA",Dallas Cowboys,"Dallas-Fort Worth, TX",1
463,1974,Pro,NFL,Miami Dolphins,"Greater Miami Area, FL",Minnesota Vikings,"Twin Cities, MN",Oakland Raiders,"San Francisco Bay Area, CA",Dallas Cowboys,"Dallas-Fort Worth, TX",2
472,1975,Pro,NFL,Pittsburgh Steelers,"Pittsburgh, PA",Minnesota Vikings,"Twin Cities, MN",Oakland Raiders,"San Francisco Bay Area, CA",Los Angeles Rams,"Greater Los Angeles, CA",1
480,1976,Pro,NFL,Pittsburgh Steelers,"Pittsburgh, PA",Dallas Cowboys,"Dallas-Fort Worth, TX",Oakland Raiders,"San Francisco Bay Area, CA",Los Angeles Rams,"Greater Los Angeles, CA",2
488,1977,Pro,NFL,Oakland Raiders,"San Francisco Bay Area, CA",Minnesota Vikings,"Twin Cities, MN",Pittsburgh Steelers,"Pittsburgh, PA",Los Angeles Rams,"Greater Los Angeles, CA",1
496,1978,Pro,NFL,Dallas Cowboys,"Dallas-Fort Worth, TX",Denver Broncos,"Denver, CO",Oakland Raiders,"San Francisco Bay Area, CA",Minnesota Vikings,"Twin Cities, MN",1
506,1979,Pro,NFL,Pittsburgh Steelers,"Pittsburgh, PA",Dallas Cowboys,"Dallas-Fort Worth, TX",Houston Oilers,"Houston, TX",Los Angeles Rams,"Greater Los Angeles, CA",1
515,1980,Pro,NFL,Pittsburgh Steelers,"Pittsburgh, PA",Los Angeles Rams,"Greater Los Angeles, CA",Houston Oilers,"Houston, TX",Tampa Bay Buccaneers,"Tampa Bay Area, FL",2
524,1981,Pro,NFL,Oakland Raiders,"San Francisco Bay Area, CA",Philadelphia Eagles,"Greater Philadelphia, PA",San Diego Chargers,"San Diego, CA",Dallas Cowboys,"Dallas-Fort Worth, TX",1
534,1982,Pro,NFL,San Francisco 49ers,"San Francisco Bay Area, CA",Cincinnati Bengals,"Cincinnati, OH",San Diego Chargers,"San Diego, CA",Dallas Cowboys,"Dallas-Fort Worth, TX",1
546,1983,Pro,NFL,Washington Redskins,"Washington, DC Metro Area",Miami Dolphins,"Greater Miami Area, FL",New York Jets,New York Metro Area,Dallas Cowboys,"Dallas-Fort Worth, TX",1
558,1984,Pro,NFL,Los Angeles Raiders,"Greater Los Angeles, CA",Washington Redskins,"Washington, DC Metro Area",Seattle Seahawks,"Seattle,WA",San Francisco 49ers,"San Francisco Bay Area, CA",1
570,1985,Pro,NFL,San Francisco 49ers,"San Francisco Bay Area, CA",Miami Dolphins,"Greater Miami Area, FL",Pittsburgh Steelers,"Pittsburgh, PA",Chicago Bears,"Chicago, IL",1
582,1986,Pro,NFL,Chicago Bears,"Chicago, IL",New England Patriots,"Greater Boston, MA",Miami Dolphins,"Greater Miami Area, FL",Los Angeles Rams,"Greater Los Angeles, CA",1
594,1987,Pro,NFL,New York Giants,New York Metro Area,Denver Broncos,"Denver, CO",Cleveland Browns,"Cleveland, OH",Washington Redskins,"Washington, DC Metro Area",1
606,1988,Pro,NFL,Washington Redskins,"Washington, DC Metro Area",Denver Broncos,"Denver, CO",Cleveland Browns,"Cleveland, OH",Minnesota Vikings,"Twin Cities, MN",1
618,1989,Pro,NFL,San Francisco 49ers,"San Francisco Bay Area, CA",Cincinnati Bengals,"Cincinnati, OH",Buffalo Bills,"Buffalo, NY",Chicago Bears,"Chicago, IL",1
630,1990,Pro,NFL,San Francisco 49ers,"San Francisco Bay Area, CA",Denver Broncos,"Denver, CO",Cleveland Browns,"Cleveland, OH",Los Angeles Rams,"Greater Los Angeles, CA",2
643,1991,Pro,NFL,New York Giants,New York Metro Area,Buffalo Bills,"Buffalo, NY",Los Angeles Raiders,"Greater Los Angeles, CA",San Francisco 49ers,"San Francisco Bay Area, CA",1
656,1992,Pro,NFL,Washington Redskins,"Washington, DC Metro Area",Buffalo Bills,"Buffalo, NY",Denver Broncos,"Denver, CO",Detroit Lions,"Metro Detroit, MI",1
668,1993,Pro,NFL,Dallas Cowboys,"Dallas-Fort Worth, TX",Buffalo Bills,"Buffalo, NY",Miami Dolphins,"Greater Miami Area, FL",San Francisco 49ers,"San Francisco Bay Area, CA",1
680,1994,Pro,NFL,Dallas Cowboys,"Dallas-Fort Worth, TX",Buffalo Bills,"Buffalo, NY",Kansas City Chiefs,"Kansas City, MO",San Francisco 49ers,"San Francisco Bay Area, CA",2
691,1995,Pro,NFL,San Francisco 49ers,"San Francisco Bay Area, CA",San Diego Chargers,"San Diego, CA",Pittsburgh Steelers,"Pittsburgh, PA",Dallas Cowboys,"Dallas-Fort Worth, TX",1
703,1996,Pro,NFL,Dallas Cowboys,"Dallas-Fort Worth, TX",Pittsburgh Steelers,"Pittsburgh, PA",Indianapolis Colts,"Indianapolis Metro Area, IN",Green Bay Packers,"Green Bay, WI",1
716,1997,Pro,NFL,Green Bay Packers,"Green Bay, WI",New England Patriots,"Greater Boston, MA",Jacksonville Jaguars,"Jacksonville, FL",Carolina Panthers,"Charlotte Metro Area, NC",1
730,1998,Pro,NFL,Denver Broncos,"Denver, CO",Green Bay Packers,"Green Bay, WI",Pittsburgh Steelers,"Pittsburgh, PA",San Francisco 49ers,"San Francisco Bay Area, CA",1
743,1999,Pro,NFL,Denver Broncos,"Denver, CO",Atlanta Falcons,"Atlanta, GA",New York Jets,New York Metro Area,Minnesota Vikings,"Twin Cities, MN",2
756,2000,Pro,NFL,St. Louis Rams,"St. Louis, MO",Tennessee Titans,"Nashville, TN",Jacksonville Jaguars,"Jacksonville, FL",Tampa Bay Buccaneers,"Tampa Bay Area, FL",1
769,2001,Pro,NFL,Baltimore Ravens,"Baltimore, MD",New York Giants,New York Metro Area,Oakland Raiders,"San Francisco Bay Area, CA",Minnesota Vikings,"Twin Cities, MN",1
782,2002,Pro,NFL,New England Patriots,"Greater Boston, MA",St. Louis Rams,"St. Louis, MO",Pittsburgh Steelers,"Pittsburgh, PA",Philadelphia Eagles,"Greater Philadelphia, PA",1
795,2003,Pro,NFL,Tampa Bay Buccaneers,"Tampa Bay Area, FL",Oakland Raiders,"San Francisco Bay Area, CA",Tennessee Titans,"Nashville, TN",Philadelphia Eagles,"Greater Philadelphia, PA",1
809,2004,Pro,NFL,New England Patriots,"Greater Boston, MA",Carolina Panthers,"Charlotte Metro Area, NC",Indianapolis Colts,"Indianapolis Metro Area, IN",Philadelphia Eagles,"Greater Philadelphia, PA",1
822,2005,Pro,NFL,New England Patriots,"Greater Boston, MA",Philadelphia Eagles,"Greater Philadelphia, PA",Pittsburgh Steelers,"Pittsburgh, PA",Atlanta Falcons,"Atlanta, GA",2
834,2006,Pro,NFL,Pittsburgh Steelers,"Pittsburgh, PA",Seattle Seahawks,"Seattle,WA",Denver Broncos,"Denver, CO",Carolina Panthers,"Charlotte Metro Area, NC",1
847,2007,Pro,NFL,Indianapolis Colts,"Indianapolis Metro Area, IN",Chicago Bears,"Chicago, IL",New England Patriots,"Greater Boston, MA",New Orleans Saints,"New Orleans, LA",1
860,2008,Pro,NFL,New York Giants,New York Metro Area,New England Patriots,"Greater Boston, MA",San Diego Chargers,"San Diego, CA",Green Bay Packers,"Green Bay, WI",1
873,2009,Pro,NFL,Pittsburgh Steelers,"Pittsburgh, PA",Arizona Cardinals,"Metro Phoenix, AZ",Baltimore Colts,"Baltimore, MD",Philadelphia Eagles,"Greater Philadelphia, PA",1
886,2010,Pro,NFL,New Orleans Saints,"New Orleans, LA",Indianapolis Colts,"Indianapolis Metro Area, IN",New York Jets,New York Metro Area,Minnesota Vikings,"Twin Cities, MN",1
899,2011,Pro,NFL,Green Bay Packers,"Green Bay, WI",Pittsburgh Steelers,"Pittsburgh, PA",New York Jets,New York Metro Area,Chicago Bears,"Chicago, IL",1
912,2012,Pro,NFL,New York Giants,New York Metro Area,New England Patriots,"Greater Boston, MA",Baltimore Colts,"Baltimore, MD",San Francisco 49ers,"San Francisco Bay Area, CA",1
925,2013,Pro,NFL,Baltimore Ravens,"Baltimore, MD",San Francisco 49ers,"San Francisco Bay Area, CA",New England Patriots,"Greater Boston, MA",Atlanta Falcons,"Atlanta, GA",1
937,2014,Pro,NFL,Seattle Seahawks,"Seattle,WA",Denver Broncos,"Denver, CO",New England Patriots,"Greater Boston, MA",San Francisco 49ers,"San Francisco Bay Area, CA",1
950,2015,Pro,NFL,New England Patriots,"Greater Boston, MA",Seattle Seahawks,"Seattle,WA",Indianapolis Colts,"Indianapolis Metro Area, IN",Green Bay Packers,"Green Bay, WI",1
963,2016,Pro,NFL,Denver Broncos,"Denver, CO",Carolina Panthers,"Charlotte Metro Area, NC",New England Patriots,"Greater Boston, MA",Arizona Cardinals,"Metro Phoenix, AZ",1
976,2017,Pro,NFL,New England Patriots,"Greater Boston, MA",Atlanta Falcons,"Atlanta, GA",Pittsburgh Steelers,"Pittsburgh, PA",Green Bay Packers,"Green Bay, WI",1
989,2018,Pro,NFL,Philadelphia Eagles,"Greater Philadelphia, PA",New England Patriots,"Greater Boston, MA",Jacksonville Jaguars,"Jacksonville, FL",Minnesota Vikings,"Twin Cities, MN",1
78,1918,Pro,NHL,Toronto Arenas,"Toronto, ON",Montreal Canadiens,"Montreal, QC",,,,,1
82,1919,Pro,NHL,Montreal Canadiens,"Montreal, QC",Ottawa Senators,"Ottawa, ON",,,,,1
91,1921,Pro,NHL,Ottawa Senators,"Ottawa, ON",Toronto St. Patricks,"Toronto, ON",,"Toronto, ON",,"Toronto, ON",1
96,1922,Pro,NHL,Toronto St. Patricks,"Toronto, ON",Ottawa Senators,"Ottawa, ON",,,,,1
103,1923,Pro,NHL,Ottawa Senators,"Ottawa, ON",Montreal Canadiens,"Montreal, QC",,,,,1
109,1924,Pro,NHL,Montreal Canadiens,"Montreal, QC",Ottawa Senators,"Ottawa, ON",,,,,1
114,1925,Pro,NHL,Montreal Canadiens,"Montreal, QC",Hamilton Tigers,"Hamilton, ON",Toronto St Patricks,"Toronto, ON",,,2
119,1926,Pro,NHL,Montreal Maroons,"Montreal, QC",Ottawa Senators,"Ottawa, ON",Pittsburgh Pirates,"Pittsburgh, PA",,,1
125,1927,Pro,NHL,Ottawa Senators,"Ottawa, ON",Boston Bruins,"Greater Boston, MA",New York Rangers,New York Metro Area,Montreal Canadiens,"Montreal, QC",1
131,1928,Pro,NHL,New York Rangers,New York Metro Area,Montreal Maroons,"Montreal, QC",Boston Bruins,"Greater Boston, MA",Montreal Canadiens,"Montreal, QC",1
136,1929,Pro,NHL,Boston Bruins,"Greater Boston, MA",New York Rangers,New York Metro Area,Toronto Maple Leafs,"Toronto, ON",Montreal Canadiens,"Montreal, QC",1
141,1930,Pro,NHL,Montreal Canadiens,"Montreal, QC",Boston Bruins,"Greater Boston, MA",New York Rangers,New York Metro Area,Montreal Maroons,"Montreal, QC",1
147,1931,Pro,NHL,Montreal Canadiens,"Montreal, QC",Chicago Black Hawks,"Chicago, IL",New York Rangers,New York Metro Area,Boston Bruins,"Greater Boston, MA",2
152,1932,Pro,NHL,Toronto Maple Leafs,"Toronto, ON",New York Rangers,New York Metro Area,Montreal Maroons,"Montreal, QC",Montreal Canadiens,"Montreal, QC",1
157,1933,Pro,NHL,New York Rangers,New York Metro Area,Toronto Maple Leafs,"Toronto, ON",Detroit Red Wings,"Metro Detroit, MI",Boston Bruins,"Greater Boston, MA",1
162,1934,Pro,NHL,Chicago Black Hawks,"Chicago, IL",Detroit Red Wings,"Metro Detroit, MI",Montreal Maroons,"Montreal, QC",Toronto Maple Leafs,"Toronto, ON",1
167,1935,Pro,NHL,Montreal Maroons,"Montreal, QC",Toronto Maple Leafs,"Toronto, ON",New York Rangers,New York Metro Area,Boston Bruins,"Greater Boston, MA",1
172,1936,Pro,NHL,Detroit Red Wings,"Metro Detroit, MI",Toronto Maple Leafs,"Toronto, ON",New York Americans,New York Metro Area,Montreal Maroons,"Montreal, QC",1
177,1937,Pro,NHL,Detroit Red Wings,"Metro Detroit, MI",New York Rangers,New York Metro Area,Montreal Maroons,"Montreal, QC",Montreal Canadiens,"Montreal, QC",2
182,1938,Pro,NHL,Chicago Black Hawks,"Chicago, IL",Toronto Maple Leafs,"Toronto, ON",New York Americans,New York Metro Area,Boston Bruins,"Greater Boston, MA",1
188,1939,Pro,NHL,Boston Bruins,"Greater Boston, MA",Toronto Maple Leafs,"Toronto, ON",Detroit Red Wings,"Metro Detroit, MI",New York Rangers,New York Metro Area,1
194,1940,Pro,NHL,New York Rangers,New York Metro Area,Toronto Maple Leafs,"Toronto, ON",Detroit Red Wings,"Metro Detroit, MI",Boston Bruins,"Greater Boston, MA",1
200,1941,Pro,NHL,Boston Bruins,"Greater Boston, MA",Detroit Red Wings,"Metro Detroit, MI",Toronto Maple Leafs,"Toronto, ON",Chicago Black Hawks,"Chicago, IL",1
206,1942,Pro,NHL,Toronto Maple Leafs,"Toronto, ON",Detroit Red Wings,"Metro Detroit, MI",Boston Bruins,"Greater Boston, MA",New York Rangers,New York Metro Area,1
212,1943,Pro,NHL,Detroit Red Wings,"Metro Detroit, MI",Boston Bruins,"Greater Boston, MA",Montreal Canadiens,"Montreal, QC",Toronto Maple Leafs,"Toronto, ON",1
218,1944,Pro,NHL,Montreal Canadiens,"Montreal, QC",Chicago Black Hawks,"Chicago, IL",Detroit Red Wings,"Metro Detroit, MI",Toronto Maple Leafs,"Toronto, ON",1
